region,subregion,county.fips,county.name
alabama,autauga,01001,"Autauga County, Alabama"
alabama,baldwin,01003,"Baldwin County, Alabama"
alabama,barbour,01005,"Barbour County, Alabama"
alabama,bibb,01007,"Bibb County, Alabama"
alabama,blount,01009,"Blount County, Alabama"
alabama,bullock,01011,"Bullock County, Alabama"
alabama,butler,01013,"Butler County, Alabama"
alabama,calhoun,01015,"Calhoun County, Alabama"
alabama,chambers,01017,"Chambers County, Alabama"
alabama,cherokee,01019,"Cherokee County, Alabama"
alabama,chilton,01021,"Chilton County, Alabama"
alabama,choctaw,01023,"Choctaw County, Alabama"
alabama,clarke,01025,"Clarke County, Alabama"
alabama,clay,01027,"Clay County, Alabama"
alabama,cleburne,01029,"Cleburne County, Alabama"
alabama,coffee,01031,"Coffee County, Alabama"
alabama,colbert,01033,"Colbert County, Alabama"
alabama,conecuh,01035,"Conecuh County, Alabama"
alabama,coosa,01037,"Coosa County, Alabama"
alabama,covington,01039,"Covington County, Alabama"
alabama,crenshaw,01041,"Crenshaw County, Alabama"
alabama,cullman,01043,"Cullman County, Alabama"
alabama,dale,01045,"Dale County, Alabama"
alabama,dallas,01047,"Dallas County, Alabama"
alabama,de kalb,01049,"DeKalb County, Alabama"
alabama,elmore,01051,"Elmore County, Alabama"
alabama,escambia,01053,"Escambia County, Alabama"
alabama,etowah,01055,"Etowah County, Alabama"
alabama,fayette,01057,"Fayette County, Alabama"
alabama,franklin,01059,"Franklin County, Alabama"
alabama,geneva,01061,"Geneva County, Alabama"
alabama,greene,01063,"Greene County, Alabama"
alabama,hale,01065,"Hale County, Alabama"
alabama,henry,01067,"Henry County, Alabama"
alabama,houston,01069,"Houston County, Alabama"
alabama,jackson,01071,"Jackson County, Alabama"
alabama,jefferson,01073,"Jefferson County, Alabama"
alabama,lamar,01075,"Lamar County, Alabama"
alabama,lauderdale,01077,"Lauderdale County, Alabama"
alabama,lawrence,01079,"Lawrence County, Alabama"
alabama,lee,01081,"Lee County, Alabama"
alabama,limestone,01083,"Limestone County, Alabama"
alabama,lowndes,01085,"Lowndes County, Alabama"
alabama,macon,01087,"Macon County, Alabama"
alabama,madison,01089,"Madison County, Alabama"
alabama,marengo,01091,"Marengo County, Alabama"
alabama,marion,01093,"Marion County, Alabama"
alabama,marshall,01095,"Marshall County, Alabama"
alabama,mobile,01097,"Mobile County, Alabama"
alabama,monroe,01099,"Monroe County, Alabama"
alabama,montgomery,01101,"Montgomery County, Alabama"
alabama,morgan,01103,"Morgan County, Alabama"
alabama,perry,01105,"Perry County, Alabama"
alabama,pickens,01107,"Pickens County, Alabama"
alabama,pike,01109,"Pike County, Alabama"
alabama,randolph,01111,"Randolph County, Alabama"
alabama,russell,01113,"Russell County, Alabama"
alabama,st clair,01115,"St. Clair County, Alabama"
alabama,shelby,01117,"Shelby County, Alabama"
alabama,sumter,01119,"Sumter County, Alabama"
alabama,talladega,01121,"Talladega County, Alabama"
alabama,tallapoosa,01123,"Tallapoosa County, Alabama"
alabama,tuscaloosa,01125,"Tuscaloosa County, Alabama"
alabama,walker,01127,"Walker County, Alabama"
alabama,washington,01129,"Washington County, Alabama"
alabama,wilcox,01131,"Wilcox County, Alabama"
alabama,winston,01133,"Winston County, Alabama"
arizona,apache,04001,"Apache County, Arizona"
arizona,cochise,04003,"Cochise County, Arizona"
arizona,coconino,04005,"Coconino County, Arizona"
arizona,gila,04007,"Gila County, Arizona"
arizona,graham,04009,"Graham County, Arizona"
arizona,greenlee,04011,"Greenlee County, Arizona"
arizona,la paz,04012,"La Paz County, Arizona"
arizona,maricopa,04013,"Maricopa County, Arizona"
arizona,mohave,04015,"Mohave County, Arizona"
arizona,navajo,04017,"Navajo County, Arizona"
arizona,pima,04019,"Pima County, Arizona"
arizona,pinal,04021,"Pinal County, Arizona"
arizona,santa cruz,04023,"Santa Cruz County, Arizona"
arizona,yavapai,04025,"Yavapai County, Arizona"
arizona,yuma,04027,"Yuma County, Arizona"
arkansas,arkansas,05001,"Arkansas County, Arkansas"
arkansas,ashley,05003,"Ashley County, Arkansas"
arkansas,baxter,05005,"Baxter County, Arkansas"
arkansas,benton,05007,"Benton County, Arkansas"
arkansas,boone,05009,"Boone County, Arkansas"
arkansas,bradley,05011,"Bradley County, Arkansas"
arkansas,calhoun,05013,"Calhoun County, Arkansas"
arkansas,carroll,05015,"Carroll County, Arkansas"
arkansas,chicot,05017,"Chicot County, Arkansas"
